Course Title,SCED Course Code,Course Description
Language Arts—General,01037,"Language Arts—General courses involve content that is not grade differentiated and may apply to a range of consecutive grades (e.g., ""by third grade, students should know and be able to do…""). These courses include content that may be applicable to states or localities that do not employ grade-level content standards. [These courses provide broad content that is not organized as described elsewhere (i.e., Language Arts, early childhood education through grade 8).]"
Reading (early childhood education),01038,"Reading (early childhood education) courses develop students’ readiness for language arts, particularly focusing on reading skills. Courses may include activities related to phonics, phonemic awareness, and vocabulary. Content is age-appropriate and conforms to any existing state standards for early childhood education."
Reading (pre-kindergarten),01039,"Reading (pre-kindergarten) courses develop students’ readiness for language arts, particularly focusing on reading skills. Courses may include activities related to phonics, phonemic awareness, and vocabulary. Content is age-appropriate and conforms to any existing state standards for pre-kindergarten education."
Reading (kindergarten),01040,"Reading (kindergarten) courses engage students in activities to develop their reading skills. Course content may emphasize storytelling or reading aloud and evoking a written, oral, or pictorial response. Specific content depends upon state standards for kindergarten."
Reading (grade 1),01041,Reading (grade 1) courses focus on reading skills and may emphasize recognition of and response to various types of text; extension of vocabulary; and the connection of language to the expression of ideas. Specific content depends upon state standards for grade 1.
Reading (grade 2),01042,"Reading (grade 2) courses focus on reading skills and may build students’ skills in independent reading by increasing reading fluency, vocabulary, and recognition of word and language patterns. Specific content depends upon state standards for grade 2."
Reading (grade 3),01043,Reading (grade 3) courses focus on reading skills and may emphasize independent reading in a variety of assignments. Some emphasis may also be placed on presentation skills. Specific content depends upon state standards for grade 3.
Reading (grade 4),01044,Reading (grade 4) courses focus on reading skills and may emphasize independent reading in a variety of assignments and require students to respond to different material in different ways. Specific content depends upon state standards for grade 4.
Reading (grade 5),01045,"Reading (grade 5) courses focus on reading skills and may extend students’ skills in distinguishing meaning and literary functions in texts, and fluency in reading. Specific content depends upon state standards for grade 5."
Reading (grade 6),01046,"Reading (grade 6) courses build upon students’ prior knowledge and skill in reading and may emphasize the use of language for different effects, in different contexts, and for different purposes. Specific content depends upon state standards for grade 6."
Reading (grade 7),01047,"Reading (grade 7) courses build upon students’ prior knowledge and skill in reading and may emphasize the use of language for different effects, in different contexts, and for different purposes. Specific content depends upon state standards for grade 7."
Reading (grade 8),01048,"Reading (grade 8) courses build upon students’ prior knowledge and skill in reading. Typically, these courses use various genres of literature to improve reading skills, and link exercises for different purposes to those reading selections. Specific content depends upon state standards for grade 8."
Reading—General,01049,"Reading—General courses involve content that is not grade differentiated and may apply to a range of consecutive grades (e.g., ""by third grade, students should know and be able to do…""). These courses include content that may be applicable to states or localities that do not employ grade-level content standards. [These courses provide broad content that is not organized as described elsewhere (i.e., Reading, early childhood education through grade 8.]"
English/Literature (freshmen and sophomores),01051,"English/Literature (freshmen and sophomores) courses are designed for freshmen and/or sophomores and typically introduce them to two or more genres of literature (novel, short story, poetry, and so on). Exploration of each genre’s literary elements; determination of theme and intent; and examination of vocabulary and semantics are often included in the course content. Writing assignments are required as an additional method to improve understanding and comprehension."
English/Literature (juniors and seniors),01052,"English/Literature (juniors and seniors) courses are designed for juniors and/or seniors and emphasize comprehension, discernment, and critical-thinking skills in the reading of texts and literature. These courses introduce and explore more advanced literary techniques (irony, satire, humor, connotation, tone, rhythm, symbolism, and so on) through two or more literary genres, with the aim of creating sophisticated readers. Writing assignments are required as an additional method to develop and improve critical-thinking and analytic skills."
Literature,01053,"Literature courses offer the opportunity for students to study and reflect upon the themes presented in the body of literature being presented. Students improve their critical-thinking skills as they determine the underlying assumptions and values within the reading selection and as they understand how the work reflects society’s problems and culture. Oral discussion is an integral part of literature courses, and written compositions are often required. Literature courses may survey representative works, reflect a particular genre or a specific theme, or survey works of a particular time or people."
American Literature,01054,"American Literature courses focus upon commonly known American authors and their work. Students improve their critical-thinking skills as they determine the underlying assumptions and values within the selected works and as they understand how the literature reflects the society of the time. Oral discussion is an integral part of literature courses, and written compositions are often required."
American Literature/History,01055,"American Literature/History courses integrate the study of American literature with an overview of U.S. history. These courses may also include other aspects of American culture, such as art or music. A two-year sequence or two-period per day class may be required to cover the same objectives as would be covered separately in U.S. History Overview and American Literature."
British Literature,01056,"British Literature courses may provide a survey of British literature or may focus on a selected timeframe of England’s history. Students improve their critical-thinking skills as they determine the underlying assumptions and values within the selected works and as they understand how the literature reflects the society of the time. Oral discussion is an integral part of literature courses, and written compositions are often required."
British Literature/History,01057,"British Literature/History courses integrate the study of British literature with an overview of the history of England. These courses may also include other aspects of British culture, such as art or music. A two-year sequence or two-period per day class may be required to cover the same objectives as would be covered separately in English History Overview and British Literature."
World Literature,01058,"World Literature courses use representative literature selections from ancient and/or modern times from countries around the world. Students improve their critical-thinking skills as they comprehend the diversity of literary traditions and the influences of those traditions. Oral discussion is an integral part of literature courses, and written compositions are often required."
Biblical Literature,01059,"Biblical Literature courses have the same aim as general literature courses (to improve students’ language arts and critical-thinking skills), focusing on the books of the Bible. Students may compare techniques, styles, and themes of the various books; examine the Bible’s influence on secular literature; and may study historical events of Biblical times. Oral discussion is an integral part of these courses, and written compositions are often required."
Literature of an Author,01060,"These courses have the same aim as general literature courses (to improve students’ language arts and critical-thinking skills), focusing on a particular author and his or her work. Students determine the underlying assumptions and values within the selected works; compare techniques, styles, and themes of the author; and reflect upon the time period in which the author lived. Oral discussion is an integral part of literature courses, and written compositions are often required."
Literature of a Genre,01061,"These courses have the same aim as general literature courses (to improve students’ language arts and critical-thinking skills), focusing on one or several genres, such as poetry, essay, biography, short story, drama, film, and so on. Students determine the underlying assumptions and values within the selected works and also examine the structure, techniques, and intentions of the genre being studied. Oral discussion is an integral part of these genre-oriented courses, and written compositions are often required."
Literature of a Period,01062,"These courses have the same aim as general literature courses (to improve students’ language arts and critical-thinking skills), focusing on the literature written during or reflecting a particular time period (such as the French Revolution, the 1960s, or the 20th century). Students determine the underlying assumptions and values within the selected works, reflect upon the influence of societal events and social attitudes, and compare the points of view of various authors. Oral discussion is an integral part of literature courses, and written compositions are often required."
Literature of a Place,01063,"These courses have the same aim as general literature courses (to improve students’ language arts and critical-thinking skills), focusing on a particular geographic region. Students determine the underlying assumptions and values within the selected works; study how the literature reflects the land, society, and history of the region; and may study the influence of this literature on others. Oral discussion is an integral part of literature courses, and written compositions are often required."
Literature of a People,01064,"These courses have the same aim as general literature courses (to improve students’ language arts and critical-thinking skills) but use literature written by authors who share a particular characteristic such as religion, culture, or gender. Students determine the underlying assumptions and values within the selected works, reflect upon the influence of a common characteristic, and compare the points of view of various authors. Oral discussion is an integral part of literature courses, and written compositions are often required."
Literature of a Theme,01065,"These courses have the same aim as general literature courses (to improve students’ language arts and critical-thinking skills) but use selected literature to explore a particular theme as expressed from several points of view. Such themes might include The American Dream, Society and Self, Exploration, War and Peace, and the like."
Strategic Reading,01066,"Strategic Reading courses are intended to improve a student’s vocabulary, critical-thinking and analysis skills, or reading rate and comprehension level. Although these courses typically emphasize works of fiction, they may also include works of nonfiction (including textbooks). Strategic Reading courses often have a time-management focus, offering strategies for note-taking or for understanding and evaluating the important points of a text."
Assisted Reading,01067,Assisted Reading courses offer students the opportunity to focus on their reading skills. Assistance is targeted to students’ particular weaknesses and is designed to bring students’ reading comprehension up to the desired level or to develop strategies to read more efficiently.
Corrective Reading,01068,"Corrective Reading courses offer diagnostic and remedial activities designed to correct reading difficulties and habits that interfere with students’ progress in developing reading skills and understandings. Activities are chosen to increase or improve students’ reading comprehension, reading technique, and general literacy skills."
Mythology,01069,"Mythology courses introduce students to the origins and meaning of myths, including how cultures use myths to explain natural or social phenomenon. Students will explore the major themes, stories, characters, and archetypes present in the mythologies of several different cultures."
CI English Literature,01070,"Cambridge International (CI) English Literature courses prepare students to take the Cambridge English Literature assessments. These courses teach students the three main forms of literature; prose, poetry, and drama, through texts from a wide range of different periods and cultures. Students will learn to read, analyze, and discuss the critical context of literature as well as develop skills of effective and appropriate communication."
Literature—Independent Study,01097,"Courses in Literature—Independent Study, often conducted with instructors as mentors, enable students to explore topics of interest related to literature. Independent Study courses may serve as an opportunity for students to expand their expertise in a particular application, to explore a topic in greater detail, or to develop more advanced skills."
Literature—Workplace Experience,01098,"Literature—Workplace Experience courses provide work experience in a field related to English literature. Goals are typically set cooperatively by the student, teacher, and employer (although students are not necessarily paid). These courses may include classroom activities as well, involving further study of the field or discussion regarding experiences that students encounter in the workplace."
Literature—Other,01099,Other Literature courses.
English/Composition (freshmen and sophomores),01101,"English/Composition (freshmen and sophomores) courses are designed for freshmen and/or sophomores and build upon previous writing skills. These courses seek to develop the writing processes and practices necessary for producing successful high school compositions. Students typically learn to write persuasive, critical, and creative multiparagraph essays and compositions. While emphasizing composition, these courses may also incorporate some literature study to expose students to exemplary illustrations of various forms of writing."
English/Composition (juniors and seniors),01102,"English/Composition (juniors and seniors) courses are designed for juniors and/or seniors and build upon previous writing skills. Reinforcing the logic and critical-thinking skills that accompany good writing, these courses—which emphasize word choice, usage, and writing mechanics—provide continued and advanced instruction in writing for a variety of purposes and audiences. English/Composition (juniors and seniors) courses may emphasize college or business preparation; literature study may be offered as an additional component in which students analyze examples of several genres."
Composition,01103,"Composition courses focus on students’ writing skills and develop their ability to compose different types of papers for a range of purposes and audiences. These courses enable students to explore and practice descriptive, narrative, persuasive, or expositive styles as they write paragraphs, essays, letters, applications, formal documented papers, or technical reports. Although composition courses may present some opportunities for creative writing, their focus usually remains on nonfiction, scholarly, or formal writing."
Creative Writing,01104,"Creative Writing courses offer students the opportunity to develop and improve their technique and individual style in poetry, short story, drama, essays, and other forms of prose. The emphasis of the courses is on writing; however, students may study exemplary representations and authors to obtain a fuller appreciation of the form and craft. Although most creative writing classes cover several expressive forms, others concentrate exclusively on one particular form (such as poetry or playwriting)."
Research/Technical Writing,01105,"Research/Technical Writing classes prepare students to write research papers and/or technical reports. These classes emphasize researching (primary and secondary sources), organizing (material, thoughts, and arguments), and writing in a persuasive or technical style."
CI English General Paper,01106,"Cambridge International (CI) English General Paper courses prepare students to take the Cambridge English General Paper assessments. These courses teach students to write in English through the study of a wide range of contemporary topics, to analyze opinions and ideas, and to construct arguments. Students will gain the skill of English writing comprehension as well as skills of developing arguments, independent reasoning, interpretation, persuasion, and presenting a clear point of view."
Writing (early childhood education),01128,"Writing (early childhood education) courses develop students’ readiness for language arts, particularly focusing on writing. Content is age appropriate and conforms to any existing state standards for early childhood education."
Writing (pre-kindergarten),01129,"Writing (pre-kindergarten) courses develop students’ readiness for language arts, particularly focusing on writing. Content is age appropriate and conforms to any existing state standards for pre-kindergarten education."
Writing (kindergarten),01130,Writing (kindergarten) courses engage students in activities to develop their writing skills. Course content may emphasize storytelling or personal expression. Specific content depends upon state standards for kindergarten.
Writing (grade 1),01131,Writing (grade 1) courses focus on writing skills and may emphasize recognition and creation of various types of text; extension of vocabulary and writing skills; and the connection of language to the expression of ideas. Specific content depends upon state standards for grade 1.
Writing (grade 2),01132,"Writing (grade 2) courses focus on writing skills and may build students’ skills in independent writing by increasing writing fluency, vocabulary, and recognition of word and language patterns. They may also introduce or reinforce the rules of grammar and spelling. Specific content depends upon state standards for grade 2."
Writing (grade 3),01133,Writing (grade 3) courses focus on writing skills and may emphasize independent writing in a variety of assignments. Some emphasis may also be placed on presentation skills. Specific content depends upon state standards for grade 3.
Writing (grade 4),01134,Writing (grade 4) courses focus on writing skills and may emphasize independent writing in a variety of assignments and require students to respond to different materials in different ways. Grammar and usage of the English language may also be emphasized. Specific content depends upon state standards for grade 4.
Writing (grade 5),01135,"Writing (grade 5) courses focus on writing skills and may extend students’ skills in writing for particular purposes or audiences, distinguishing meaning and literary functions in texts, and fluency in writing. Specific content depends upon state standards for grade 5."
Writing (grade 6),01136,"Writing (grade 6) courses build upon students’ prior knowledge and skill in writing and may emphasize the use of language for different effects, in different contexts, and for different purposes. Specific content depends upon state standards for grade 6."
Writing (grade 7),01137,Writing (grade 7) courses build upon students’ prior knowledge and skill in writing and may emphasize the use of language for different effects and to construct meaning and connections. Specific content depends upon state standards for grade 7.
Writing (grade 8),01138,"Writing (grade 8) courses build upon students’ prior knowledge and skill in writing. Typically, these courses use writing exercises to expand students’ understanding of the different purposes of written communication. Specific content depends upon state standards for grade 8."
Writing—General,01139,"Writing—General courses involve content that is not grade differentiated and may apply to a range of consecutive grades (e.g., “by third grade, students should know and be able to do…”). These courses include content that may be applicable to states or localities that do not employ grade-level content standards. [These courses provide broad content that is not organized as described elsewhere (i.e., Writing, early childhood education through grade 8).]"
Composition—Independent Study,01147,"Composition—Independent study, often conducted with instructors as mentors, allow students to explore particular topics within the field of language arts (emphasizing composition). Independent Study courses may serve as an opportunity for students to expand their expertise in a particular application, to explore a topic in greater detail, or to develop more advanced skills."
Composition—Workplace Experience,01148,"Composition—Workplace Experience courses provide work experience in a field related to English composition. Goals are typically set cooperatively by the student, teacher, and employer (although students are not necessarily paid). These courses may include classroom activities as well, involving further study of the field or discussion regarding experiences that students encounter in the workplace."
Composition—Other,01149,Other Composition courses.
Public Speaking,01151,"Public Speaking courses enable students, through practice, to develop communication skills that can be used in a variety of speaking situations (such as small and large group discussions, delivery of lectures or speeches in front of audiences, and so on). Course topics may include (but are not limited to) research and organization, writing for verbal delivery, stylistic choices, visual and presentation skills, analysis and critique, and development of self-confidence."
Forensic Speech—Inclusive,01152,"Forensic Speech—Inclusive courses offer students the opportunity to learn how to use oral skills effectively in formal and informal situations. Students learn such skills as logic and reasoning, the organization of thought and supporting materials, and effective presentation of one’s voice and body. Often linked to an extracurricular program, these courses introduce students to numerous public speaking situations, and they learn the methods, aims, and styles of a variety of events (e.g., formal debate, Lincoln-Douglas debate, expository speaking, radio broadcast, oral interpretation, and dramatic interpretation). Participation in competition is encouraged, but not always required."
Forensic Speech—Debate,01153,"Forensic Speech—Debate courses offer students the opportunity to learn how to use oral skills in formal and informal situations. In these courses, students are able to develop such skills as logic and reasoning, research and analysis, organization of thought and supporting materials, argumentative style and skill, and effective presentation of one’s voice and body. Often linked to an extracurricular program, these courses introduce students to the methods, aims, and styles used in various kinds of debates (formal debate or Lincoln-Douglas). Participation in competition is encouraged, but not always required."
Forensic Speech—Individual Event,01154,"Forensic Speech—Individual Event courses offer students the opportunity to learn how to use oral skills in formal and informal situations. Topics included depend upon the event(s) being taught, but they usually emphasize effective presentation of one’s voice and body, thoughtful understanding and interpretation of literature, logic and reasoning, and the organization of thought and supporting materials. Often linked to an extracurricular program, these courses introduce students to one or several individual event categories (e.g., exposition, oral interpretation, dramatic interpretation, and radio broadcast). Participation in competition is encouraged, but not always required."
Communications,01155,"Communications courses focus on the application of written and oral communication skills through a variety of formal and informal experiences. The courses are performance-based and emphasize effective interpersonal and team-building skills. Communications courses may also involve the study of how interpersonal communications are affected by stereotypes, nonverbal cues, vocabulary, and stylistic choices."
Applied English and Communications,01156,"Applied English and Communications courses teach students communication skills—reading, writing, listening, speaking—concentrating on “real-world” applications. These courses usually emphasize the practical application of communication as a business tool—using technical reports and manuals, business letters, resumes, and applications as examples—rather than emphasize language arts skills as applied to scholarly and literary materials."
Speech—Independent Study,01197,"Speech—Independent Study courses, often conducted with instructors as mentors, allow students to explore particular topics within the field of language arts (emphasizing speech). Independent Study courses may serve as an opportunity for students to expand their expertise in a particular application, to explore a topic in greater detail, or to develop more advanced skills."
Speech—Workplace Experience,01198,"Speech—Workplace Experience courses provide work experience in a field related to public speaking and speech. Goals are typically set cooperatively by the student, teacher, and employer (although students are not necessarily paid). These courses may include classroom activities as well, involving further study of the field or discussion regarding experiences that students encounter in the workplace."
Speech—Other,01199,Other Speech courses.
English Morphology and Grammar,01201,"English Morphology and Grammar courses involve the study of the English language—its roots and derivations, structure and sentence patterns, dialects, writing and spelling systems, and uses as a communication tool."
History of the English Language,01202,"History of the English Language courses trace the development of English, concentrating on historical and cultural influences and how the language has changed over time. Although language roots, structures, and dialects may be examined, the emphasis remains on the process of language development rather than on morphology."
English—Test Preparation,01203,"English—Test Preparation courses provide students with activities in analytical thinking and with the skills and strategies associated with standardized test taking. Topics covered include vocabulary, reading comprehension, and writing strategies, as well as time management, scoring procedures, and dealing with test-related stress. Course materials may include national and state standardized test review materials (such as ACT, SAT, or PSAT test review materials), current assessment software programs, and previous standardized examinations."
English Grammar,01204,"English Grammar courses focus on the structure of the formal standard American English language, involving sentence structure; parts of speech; the function of words, phrases, and clauses; and proper punctuation."
English Proficiency Development,01992,English Proficiency Development courses are designed to assist students in acquiring the skills necessary to pass proficiency examinations.
English Language and Literature—Aide,01995,"English Language and Literature—Aide courses offer students the opportunity to assist instructors in preparing, organizing, or delivering course curricula. Students may provide tutorial or instructional assistance to other students."
English Language and Literature—Supplemental,01996,"English Language and Literature—Supplemental courses, designed to be taken in addition to or in coordination with other English language and literature courses, provide instruction to assist students in acquiring English language arts skills so that students attain necessary grade-level skills or reach a desired competency level."
English Language and Literature—Independent Study,01997,"English Language and Literature—Independent study courses, often conducted with instructors as mentors, allow students to explore particular topics within the field of language arts. Independent Study courses may serve as an opportunity for students to expand their expertise in a particular application, to explore a topic in greater detail, or to develop more advanced skills."
English Language and Literature—Workplace Experience,01998,"English Language and Literature—Workplace Experience courses provide students with work experience in a field related to English language or literature. Goals are typically set cooperatively by the student, teacher, and employer (although students are not necessarily paid). These courses may include classroom activities as well, involving further study of the field or discussion regarding experiences that students encounter in the workplace."
English Language and Literature—Other,01999,Other English Language and Literature courses.
Informal Mathematics,02001,"Informal Mathematics courses emphasize the teaching of mathematics as problem solving, communication, and reasoning, and highlight the connections among mathematical topics and between mathematics and other disciplines. These courses approach the teaching of general mathematics, pre-algebra, and pre-geometry topics by applying numbers, and algebraic and geometric concepts and relationships to real world problems."
General Mathematics,02002,"General Mathematics courses reinforce and expand students' foundational mathematic skills, such as arithmetic operations using rational numbers; area, perimeter, and volume of geometric figures, congruence and similarity, angle relationships, the Pythagorean theorem, the rectangular coordinate system, sets and logic, ratio and proportion, estimation, formulas, solving and graphing simple equations and inequalities."
Particular Topics in Foundation Mathematics,02003,"These courses examine particular topics in Foundation Mathematics, such as arithmetic, sequences, or basic conceptual skills, rather than provide a general overview."
Mathematics (early childhood education),02028,Mathematics (early childhood education) courses cover foundational skills and concepts related to mathematics. Content is age appropriate and conforms to any existing state standards for early childhood education.
Mathematics (pre-kindergarten),02029,Mathematics (pre-kindergarten) courses cover foundational skills and concepts related to mathematics. Content is age appropriate and conforms to any existing state standards for pre-kindergarten education.
Mathematics (kindergarten),02030,Mathematics (kindergarten) courses typically introduce and reinforce basic concepts of mathematics such as counting whole numbers and understanding patterns. Specific content depends upon state standards for kindergarten.
Mathematics (grade 1),02031,"Mathematics (grade 1) courses typically help build a conceptual foundation in number, operation, and quantitative reasoning; patterns, relationships, and algebraic thinking; geometry and spatial reasoning; time and non-standard length units. These courses often require students to develop their numerical fluency and to make calculation predictions. Specific content depends upon state standards for grade 1."
Mathematics (grade 2),02032,"Mathematics (grade 2) courses typically continue to build a conceptual foundation in number, operation, and quantitative reasoning; patterns, relationships, and algebraic thinking; geometry and spatial reasoning; and measurement. Students begin to incorporate the context of time and money. These courses often require students to develop their numerical fluency, particularly in addition and subtraction, and to solve problems using those operations as well as estimation. Specific content depends upon state standards for grade 2."
Mathematics (grade 3),02033,"Mathematics (grade 3) courses typically emphasize number, operation, and quantitative reasoning; patterns, relationships, and algebraic thinking; geometry and spatial reasoning; and measurement. These courses often require students to improve their numerical fluency, adding multiplication and division to addition and subtraction operations, using whole numbers and parts (quarters, thirds, halves), develop an understanding of unitizing (unit fractions), and estimation. Specific content depends upon state standards for grade 3."
